epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1213.93,2.43317,4.39232,1.56188,0.21811,0.1352,0.03403,0.01252,2.19225,3.50886,1.43527,0.00999315,0.00333105,0.00999315,0.00333105,0.00999315,0.00333105,0.00999315,0.00333105
2,2044.29,2.24312,2.88586,1.41936,0.41659,0.09716,0.05055,0.0193,2.18884,3.56546,1.41483,0.0197952,0.0065984,0.0197952,0.0065984,0.0197952,0.0065984,0.0197952,0.0065984
3,2911.95,2.24076,2.89679,1.42993,0.54116,0.05588,0.0355,0.01146,2.33238,3.91075,1.45692,0.0293993,0.00979976,0.0293993,0.00979976,0.0293993,0.00979976,0.0293993,0.00979976
4,3726.72,2.24797,2.82413,1.45178,0.56735,0.06197,0.04732,0.01835,2.21202,3.27958,1.53188,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4566.46,2.19313,2.59363,1.44369,0.2386,0.08497,0.0472,0.01853,2.18486,3.25707,1.51553,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5678.47,2.16609,2.41146,1.43531,0.08592,0.14882,0.06848,0.02698,2.16331,3.07788,1.497,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,6692.9,2.13198,2.28916,1.42085,0.11543,0.14278,0.07924,0.03207,2.1834,3.03581,1.53703,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7507.19,2.1044,2.16475,1.41488,0.15026,0.12038,0.06201,0.02441,2.17558,3.2333,1.4716,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,8318.61,2.08714,2.07165,1.39887,0.2732,0.07607,0.06158,0.0217,2.26295,3.14651,1.5372,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,9127.73,2.06937,1.99388,1.3895,0.32686,0.16252,0.06969,0.02317,2.31193,3.34909,1.53131,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
